0,1,2
Spider-Man,male,1962
Captain America,male,1941
Wolverine,male,1974
Iron Man,male,1963
Thor,male,1963
Thing,male,1961
Mister Fantastic,male,1961
Hulk,male,1962
Beast,male,1963
Invisible Woman,female,1961
Storm,female,1975
Namor,male,1939
Hawkeye,male,1964
Daredevil,male,1964
Doctor Strange,male,1963
Hank Pym,male,1962
Scarlet Witch,female,1964
Wasp,female,1963
Black Widow,female,1964
Vision,male,1968
Avengers,NA,1963
Ant-Man,male,1962
Guardians of the Galaxy,NA,2008
Black Panther,male,1966
